Data,Porthable (Temp)
2016/04/19 10:38:00,20.31
2016/04/19 10:43:01,20.31
2016/04/19 10:48:02,20.31
2016/04/19 10:53:03,20.31
2016/04/19 10:58:04,20.31
2016/04/19 11:03:05,20.31
2016/04/19 11:08:06,20.31
2016/04/19 11:13:07,20.31
2016/04/19 11:18:08,20.31
2016/04/19 11:23:09,20.31
2016/04/19 11:28:10,20.31
2016/04/19 11:33:11,20.31
2016/04/19 11:38:12,20.31
2016/04/19 11:43:13,20.31
2016/04/19 11:48:14,20.31
2016/04/19 11:53:15,20.31
2016/04/19 11:58:16,20.31
2016/04/19 12:03:17,20.25
2016/04/19 12:08:18,20.31
2016/04/19 12:13:19,20.31
2016/04/19 12:18:20,20.31
2016/04/19 12:23:21,20.25
2016/04/19 12:28:22,20.25
2016/04/19 12:33:23,20.31
2016/04/19 12:38:24,20.31
2016/04/19 12:43:25,20.31
2016/04/19 12:48:26,20.25
2016/04/19 12:53:27,20.31
2016/04/19 12:58:28,20.31
2016/04/19 13:03:29,20.25
2016/04/19 13:08:30,20.31
2016/04/19 13:13:31,20.25
2016/04/19 13:18:32,20.31
2016/04/19 13:23:33,20.25
2016/04/19 13:28:34,20.25
2016/04/19 13:33:35,20.31
2016/04/19 13:38:36,20.31
2016/04/19 13:43:37,20.31
2016/04/19 13:48:38,20.25
2016/04/19 13:53:39,20.31
2016/04/19 13:58:40,20.31
2016/04/19 14:03:41,20.31
2016/04/19 14:08:42,20.31
2016/04/19 14:13:43,20.25
2016/04/19 14:18:44,20.31
2016/04/19 14:23:45,20.25
2016/04/19 14:28:46,20.31
2016/04/19 14:33:47,20.31
2016/04/19 14:38:48,20.31
2016/04/19 14:43:49,20.31
2016/04/19 14:48:50,20.31
2016/04/19 14:53:51,20.25
2016/04/19 14:58:52,20.25
2016/04/19 15:03:53,20.25
2016/04/19 15:08:54,20.31
2016/04/19 15:13:55,20.31
2016/04/19 15:18:56,20.25
2016/04/19 15:23:57,20.25
2016/04/19 15:28:58,20.25
2016/04/19 15:33:59,20.31
2016/04/19 15:39:00,20.25
2016/04/19 15:44:01,20.25
2016/04/19 15:49:02,20.25
2016/04/19 15:54:03,20.25
2016/04/19 15:59:04,20.25
2016/04/19 16:04:05,20.25
2016/04/19 16:09:06,20.25
2016/04/19 16:14:07,20.25
2016/04/19 16:19:08,20.31
2016/04/19 16:24:09,20.25
2016/04/19 16:29:10,20.25
2016/04/19 16:34:11,20.31
2016/04/19 16:39:12,20.25
2016/04/19 16:44:13,20.31
2016/04/19 16:49:14,20.31
2016/04/19 16:54:15,20.31
2016/04/19 16:59:16,20.31
2016/04/19 17:04:17,20.31
2016/04/19 17:09:18,20.25
2016/04/19 17:14:19,20.31
2016/04/19 17:19:20,20.25
2016/04/19 17:24:21,20.25
2016/04/19 17:29:22,20.31
2016/04/19 17:34:23,20.31
2016/04/19 17:39:24,20.25
2016/04/19 17:44:25,20.25
2016/04/19 17:49:26,20.31
2016/04/19 17:54:27,20.25
2016/04/19 17:59:28,20.25
2016/04/19 18:04:29,20.31
2016/04/19 18:09:30,20.25
2016/04/19 18:14:31,20.25
2016/04/19 18:19:32,20.31
2016/04/19 18:24:33,20.25
2016/04/19 18:29:34,20.25
2016/04/19 18:34:35,20.25
2016/04/19 18:39:36,20.25
2016/04/19 18:44:37,20.31
2016/04/19 18:49:38,20.44
2016/04/19 18:54:39,20.50
2016/04/19 18:59:40,20.50
2016/04/19 19:04:41,20.50
2016/04/19 19:09:42,20.56
2016/04/19 19:14:43,20.56
2016/04/19 19:19:44,20.56
2016/04/19 19:24:45,20.56
2016/04/19 19:29:46,20.56
2016/04/19 19:34:47,20.63
2016/04/19 19:39:48,20.63
2016/04/19 19:44:49,20.69
2016/04/19 19:49:50,20.63
2016/04/19 19:54:51,20.56
2016/04/19 19:59:52,20.56
2016/04/19 20:04:53,20.50
2016/04/19 20:09:54,20.50
2016/04/19 20:14:55,20.50
2016/04/19 20:19:56,20.50
2016/04/19 20:24:57,20.50
2016/04/19 20:29:58,20.44
2016/04/19 20:34:59,20.50
2016/04/19 20:40:00,20.44
2016/04/19 20:45:01,20.44
2016/04/19 20:50:02,20.44
2016/04/19 20:55:03,20.44
2016/04/19 21:00:04,20.44
2016/04/19 21:05:05,20.44
2016/04/19 21:10:06,20.44
2016/04/19 21:15:07,20.44
2016/04/19 21:20:08,20.44
2016/04/19 21:25:09,20.44
2016/04/19 21:30:10,20.44
2016/04/19 21:35:11,20.44
2016/04/19 21:40:12,20.44
2016/04/19 21:45:13,20.44
2016/04/19 21:50:14,20.44
2016/04/19 21:55:15,20.44
2016/04/19 22:00:16,20.44
2016/04/19 22:05:17,20.44
2016/04/19 22:10:18,20.44
2016/04/19 22:15:19,20.44
2016/04/19 22:20:20,20.38
2016/04/19 22:25:21,20.38
2016/04/19 22:30:22,20.44
2016/04/19 22:35:23,20.38
2016/04/19 22:40:24,20.38
2016/04/19 22:45:25,20.44
2016/04/19 22:50:26,20.38
2016/04/19 22:55:27,20.44
2016/04/19 23:00:28,20.44
2016/04/19 23:05:29,20.44
2016/04/19 23:10:30,20.38
2016/04/19 23:15:31,20.44
2016/04/19 23:20:32,20.44
2016/04/19 23:25:33,20.38
2016/04/19 23:30:34,20.38
2016/04/19 23:35:35,20.38
2016/04/19 23:40:36,20.38
2016/04/19 23:45:37,20.44
2016/04/19 23:50:38,20.56
2016/04/19 23:55:39,20.63
2016/04/20 00:00:40,20.69
2016/04/20 00:05:41,20.63
2016/04/20 00:10:42,20.63
2016/04/20 00:15:43,20.69
2016/04/20 00:20:44,20.75
2016/04/20 00:25:45,20.75
2016/04/20 00:30:46,20.75
2016/04/20 00:35:47,20.75
2016/04/20 00:40:48,20.63
2016/04/20 00:45:49,20.56
2016/04/20 00:50:50,20.56
2016/04/20 00:55:51,20.56
2016/04/20 01:00:52,20.50
2016/04/20 01:05:53,20.50
